iter	Passed	Remaining
0	2	274
1	5	256
2	7	246
3	9	238
4	12	233
5	14	231
6	17	235
7	21	244
8	24	242
9	27	244
10	29	234
11	30	225
12	33	227
13	35	218
14	36	208
15	37	199
16	39	190
17	40	182
18	40	174
19	41	167
20	42	161
21	43	155
22	44	150
23	45	144
24	47	141
25	48	136
26	48	132
27	49	128
28	50	124
29	51	120
30	52	116
31	53	113
32	54	109
33	55	106
34	55	103
35	56	100
36	57	98
37	58	95
38	59	92
39	60	90
40	61	88
41	62	85
42	63	83
43	63	80
44	64	78
45	65	76
46	66	74
47	67	72
48	68	70
49	68	68
50	69	67
51	70	65
52	71	63
53	72	61
54	73	59
55	74	58
56	75	56
57	75	54
58	76	53
59	77	51
60	78	50
61	79	48
62	80	47
63	81	45
64	82	44
65	82	42
66	83	41
67	84	39
68	85	38
69	86	36
70	87	35
71	87	34
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	111	0
